Application,"process_name",Path
"Citrix Gateway Core Service","XTE.exe -k runservice -n CitrixXTEServer -f conf/httpd","C:\Program Files (x86)\Citrix\XTE\bin\XTE.exe"
XenCenter,XenCenter,"C:\Program Files (x86)\Citrix\XenCenter\XenCenterMain.exe"
"Microsoftr Windowsr Operating System",wmiprvse,"C:\Windows\system32\wbem\wmiprvse.exe"
"Microsoftr Windowsr Operating System",WmiApSrv,"C:\Windows\system32\wbem\WmiApSrv.exe"
"Microsoftr Windowsr Operating System",winlogon,"C:\Windows\system32\winlogon.exe"
"Microsoftr Windowsr Operating System",wininit,"C:\Windows\system32\wininit.exe"
"Citrix ICA Host",wfshell,"C:\Program Files (x86)\Citrix\System32\wfshell.exe"
"Citrix ICA Client",wfcrun32,"C:\Program Files (x86)\Citrix\ICA Client\wfcrun32.exe"
"vSphere Client",VpxClient,"C:\Program Files (x86)\VMware\Infrastructure\Virtual Infrastructure Client\Launcher\VpxClient.exe"
"VMware Remote Console","vmware-vmrc","C:\Program Files (x86)\Common Files\VMware\VMware VMRC Plug-in\Internet Explorer\vmware-vmrc.exe"
"VMware USB Arbitration Service","vmware-usbarbitrator","C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator.exe"
"VMware Tools",VMwareTray,"C:\Program Files\VMware\VMware Tools\VMwareTray.exe"
"VMware Tools",vmtoolsd,"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"
"Microsoftr Windowsr Operating System",taskhost,"C:\Windows\system32\taskhost.exe"
"Microsoftr Windowsr Operating System",svchost,"C:\Windows\System32\svchost.exe"
"Microsoftr Windowsr Operating System",spoolsv,"C:\Windows\System32\spoolsv.exe"
"Microsoftr .NET Framework",SMSvcHost,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe"
"Microsoftr Windowsr Operating System",smss,"C:\Windows\system32\smss.exe"
"Microsoftr Windowsr Operating System",services,"C:\Windows\system32\services.exe"
"Microsoftr Windowsr Operating System",ServerManagerLauncher,"C:\Windows\system32\ServerManagerLauncher.exe"
"Microsoftr Windowsr Operating System","rundll32.exe shell32","C:\Windows\System32\rundll32.exe"
"Citrix Receiver",Receiver,"C:\Program Files (x86)\Citrix\ICA Client\Receiver\Receiver.exe"
"Citrix Offline Plug-in",RadeSvc,"C:\Program Files (x86)\Citrix\Streaming Client\RadeSvc.exe"
"Citrix Offline Plug-in",RadeObj,"C:\Program Files (x86)\Citrix\Streaming Client\RadeObj.exe"
"Citrix Offline Plug-in",RadeHlprSvc,"C:\Program Files (x86)\Citrix\Streaming Client\RadeHlprSvc.exe"
"Microsoftr Windowsr Operating System",powershell,"C:\WINDOWS\system32\WindowsPowerShell\v1.0\powershell.exe"
"Citrix ICA Client",PNAMain,"C:\Program Files (x86)\Citrix\ICA Client\PNAMain.exe"
"Microsoftr Office",OSPPSVC,"C:\Program Files\Common Files\Microsoft Shared\OfficeSoftwareProtectionPlatform\OSPPSVC.EXE"
"Microsoftr Windowsr Operating System",mstsc,"C:\Windows\system32\mstsc.exe"
"Microsoftr Windowsr Operating System",msdtc,"C:\Windows\System32\msdtc.exe"
"Microsoftr Windowsr Operating System",tsmmc,"C:\Windows\SysWOW64\mmc.exe"
"Citrix XenApp",mfcom,"C:\PROGRA~2\Citrix\System32\mfcom.exe"
"Microsoftr Windowsr Operating System",lsm,"C:\Windows\system32\lsm.exe"
"Microsoftr Windowsr Operating System",lsass,"C:\Windows\system32\lsass.exe"
"Microsoftr Windowsr Operating System",LogonUI,"C:\Windows\system32\LogonUI.exe"
"Java(TM) Platform SE Auto Updater 2 0",jusched,"C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe"
"Internet Information Services",inetinfo,"C:\Windows\system32\inetsrv\inetinfo.exe"
"Citrix Independent Management Architecture",ImaSrv,"C:\Program Files (x86)\Citrix\System32\Citrix\Ima\ImaSrv.exe"
"Citrix XenApp",IMAAdvanceSrv,"C:\Program Files (x86)\Citrix\System32\Citrix\Ima\IMAAdvanceSrv.exe"
"Citrix XenApp",HCAService,"C:\Program Files (x86)\Citrix\HealthMon\HCAService.exe"
"Microsoftr Windowsr Operating System",Explorer,"C:\Windows\Explorer.EXE"
"Citrix ICA Host",encsvc,"C:\Program Files (x86)\Citrix\system32\encsvc.exe"
"Microsoftr Windowsr Operating System",Dwm,"C:\Windows\system32\Dwm.exe"
"Microsoftr Windowsr Operating System",dllhost,"C:\Windows\system32\dllhost.exe"
"Citrix XenApp",ctxxmlss,"C:\Program Files (x86)\Citrix\System32\ctxxmlss.exe"
"Citrix ICA Host",CtxSvcHost,"C:\Program Files (x86)\Citrix\System32\CtxSvcHost.exe"
"Microsoftr Windowsr Operating System",csrss,"C:\Windows\system32\csrss.exe"
"Citrix ICA Host",CpSvc,"C:\Program Files (x86)\Citrix\system32\CpSvc.exe"
"Microsoftr Windowsr Operating System",conhost,"C:\Windows\system32\conhost.exe"
"Citrix ICA Client",concentr,"C:\Program Files (x86)\Citrix\ICA Client\concentr.exe"
"Citrix Group Policy Management",CitrixCseEngine,"C:\Program Files\Citrix\Group Policy\Client-Side Extension\CitrixCseEngine.exe"
"Citrix XenApp","Citrix.XenApp.Commands.Remoting.Service","C:\Program Files\Citrix\XenApp Commands\Citrix.XenApp.Commands.Remoting.Service.exe"
"Citrix Common Diagnostic Facility",CdfSvc,"C:\Program Files (x86)\Common Files\Citrix\System32\CdfSvc.exe"
"Adobe Acrobat Update Service",armsvc,"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"
"Microsoft SQL Server",sqlwriter,"C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe"
"Microsoft SQL Server",sqlservr,"C:\Program Files (x86)\Microsoft SQL Server\MSSQL10.CITRIX_METAFRAME\MSSQL\Binn\sqlservr.exe"
"Microsoft SQL Server",sqlbrowser,"C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe"
"Citrix offline plug-in",RadeSvc,"C:\Program Files (x86)\Citrix\Streaming Client\RadeSvc.exe"
